Row.names	logFC EE2	logCPM	LR	PValue	FDR EE2	Annotation_uniprot	Annotation_fish	logFC Mix	FDR Mix
P3503_102_TRINITY_DN19663_c0_g2_i4	7.27839112499718	4.70194112037785	38.3835728935724	5.81195687801987e-10	1.05374429874705e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component pro-C3-1 [Trematomus bernacchii]	7.68306173551196	5.32924622090622e-14
P3503_105_TRINITY_DN18394_c2_g25_i1	5.48079431975562	4.26862438539028	38.3767745975234	5.83223875083675e-10	1.05374429874705e-06	NA	NA	4.94843252184262	5.66330090768137e-14
P3503_119_TRINITY_DN20522_c0_g2_i1	8.04116464638563	1.61535939637091	38.3587650529824	5.88631115819955e-10	1.05374429874705e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component c3 [Sparus aurata]	9.11067830545129	6.83649389212599e-14
P3503_108_TRINITY_DN19865_c6_g2_i2	5.25340436175345	4.90223987925292	37.8978010457671	7.45492196665651e-10	1.31113767058833e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 (Fragment) [Perca flavescens]	5.45131063422327	2.95524526535208e-12
P3503_111_TRINITY_DN23009_c1_g2_i2	8.45769095554428	8.59324998177085	37.4262311037923	9.49366539332707e-10	1.64091458968215e-06	Vitellogenin [Q92093, Oncorhynchus mykiss]	Vitellogenin Ab [Moronidae]	8.26302199391341	1.27843450298308e-08
P3503_115_TRINITY_DN21093_c2_g1_i5	5.36351305159898	6.08949680753718	37.3402566712037	9.92153153726469e-10	1.68580273742245e-06	NA	NA	4.64321135578063	1.97610892734214e-09
P3503_108_TRINITY_DN19796_c1_g3_i17	5.48639475848294	4.47032822441533	37.2877177019981	1.01924506233065e-09	1.70297163755976e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component c3 [Sparus aurata]	6.16311444334354	1.56609033660727e-13
P3503_114_TRINITY_DN21353_c7_g10_i5	5.18413179235654	6.79990015915507	37.1950825307747	1.06882964687048e-09	1.75654267654293e-06	Mucolipin-1 [Q99J21, Mus musculus]	PREDICTED  mucolipin-1-like [Larimichthys crocea]	4.84496301274384	8.93031343558071e-13
P3503_123_TRINITY_DN22177_c0_g1_i1	4.41053873133854	2.42448643257572	37.1347878869596	1.10239384963432e-09	1.78248195212888e-06	NA	NA	3.96885193077964	8.01312018193649e-09
P3503_115_TRINITY_DN21034_c2_g11_i1	9.60739299450169	2.44456317141491	36.9498037162576	1.21209895570968e-09	1.92875727318952e-06	NA	NA	8.92351663173532	1.40422826617831e-11
P3503_130_TRINITY_DN22284_c2_g4_i9	8.51944362610713	5.62496225891777	36.8032162871809	1.30674493638406e-09	2.04687301761822e-06	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 1 [Perca flavescens]	8.02812462916082	8.45359584222064e-10
P3503_120_TRINITY_DN21545_c2_g3_i12	5.57946245498521	7.26179594731464	36.647100864951	1.41569404359369e-09	2.18341403348037e-06	Galactose-specific lectin nattectin [Q66S03, Thalassophryne nattereri]	C-type lectin 11 [Perca flavescens]	5.3268726711704	1.85392835222887e-12
P3503_108_TRINITY_DN19759_c0_g1_i1	6.9066663669299	2.89986019879658	36.1962333958206	1.78415061072633e-09	2.70998961476824e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	PREDICTED  complement C3-like [Maylandia zebra]	7.61720572982394	1.23212496426302e-14
P3503_108_TRINITY_DN19876_c9_g1_i3	6.89768063534801	4.71116189394486	36.0366936089171	1.9363657477898e-09	2.89729447537582e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement factor 3 (Fragment) [Oreochromis niloticus niloticus]	7.70357083952871	6.39981545767784e-13
P3503_121_TRINITY_DN14430_c0_g1_i1	3.73945784583736	3.39538296886976	35.8584219695622	2.12188830897809e-09	3.12819383951095e-06	Alpha-1-antitrypsin homolog [P32759, Cyprinus carpio]	Hibernation-specific plasma protein HP-55 [Larimichthys crocea]	3.665999517028	5.49081855505648e-09
P3503_102_TRINITY_DN19748_c2_g6_i1	8.2841138409768	1.97135607356724	35.7728477235888	2.21716476302379e-09	3.22128333809235e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	PREDICTED  complement C3-like [Esox lucius]	8.89076777008857	1.56609033660727e-13
P3503_108_TRINITY_DN18168_c0_g2_i2	7.12897557601639	2.54565977553437	35.6730697270744	2.33367843062553e-09	3.34212755702541e-06	NA	NA	7.63673527269061	4.32101797679869e-10
P3503_119_TRINITY_DN22796_c0_g1_i2	7.28171143102178	3.56542875702645	35.5436596408911	2.49397499896331e-09	3.52138731931088e-06	Extracellular serine/threonine protein kinase FAM20C [Q8IXL6, Homo sapiens]	PREDICTED  extracellular serine/threonine protein kinase FAM20C-like [Stegastes partitus]	7.32367782203273	6.88518010447178e-10
P3503_130_TRINITY_DN13547_c0_g1_i1	10.8081838031379	8.14451414410363	34.7982371272602	3.65704450835658e-09	5.09187576275331e-06	Cathepsin E [P43159, Oryctolagus cuniculus]	PREDICTED  cathepsin E-like [Larimichthys crocea]	10.2839654930801	1.26111681407954e-13
P3503_123_TRINITY_DN22480_c0_g1_i1	9.82397490559408	5.56174970098762	34.7036201547638	3.83916992633071e-09	5.27223213622914e-06	NA	NA	9.43972593695871	1.45254620496046e-06
P3503_109_TRINITY_DN20533_c3_g1_i5	3.70022569976658	3.3650203218734	34.6494098142594	3.94758234129934e-09	5.27654909510556e-06	Alpha-1-antitrypsin homolog [P32759, Cyprinus carpio]	Uncharacterized protein [Takifugu rubripes]	3.57344899926416	4.65873379052128e-07
P3503_120_TRINITY_DN35820_c0_g1_i1	10.3397490655235	6.56204197047953	34.6715856107659	3.90286841501559e-09	5.27654909510556e-06	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin [Sparidae]	10.0426712443701	4.19771600300585e-06
P3503_102_TRINITY_DN19501_c1_g1_i2	7.73337244011843	4.48461571068361	34.5703242326699	4.11126409888813e-09	5.42302782433469e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 [Perca flavescens]	8.39419436452271	6.65342629983453e-13
P3503_106_TRINITY_DN21812_c0_g1_i1	7.30116619141597	5.84592336266175	34.2480081372927	4.85171771147136e-09	6.31662141373107e-06	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 1 [Perca flavescens]	6.68262930578179	8.1776659939714e-09
P3503_105_TRINITY_DN15351_c0_g3_i1	4.91023787982602	2.51222089465802	33.8379119875765	5.9900117035702e-09	7.69862414450268e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 [Anarhichas minor]	5.4086599254576	1.15515101131311e-12
P3503_118_TRINITY_DN22376_c2_g15_i1	4.68806883208638	6.67818370969141	33.6950398954381	6.44648519916618e-09	8.18042651558495e-06	NA	NA	3.78199592822603	1.5961784456407e-08
P3503_133_TRINITY_DN23383_c0_g4_i4	9.09148308887316	7.96557264270976	33.4598650560358	7.27498351160003e-09	9.1163727756799e-06	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 1 [Perca flavescens]	8.66222410558904	4.11961545403956e-07
P3503_133_TRINITY_DN23252_c2_g5_i9	4.76334714877565	2.69198796455577	33.3982543301835	7.50913368102684e-09	9.18028222425926e-06	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 [Perca flavescens]	5.0982743287143	1.25044107385546e-11
P3503_102_TRINITY_DN19663_c0_g2_i3	6.38390447699628	3.00364217010826	32.9782274655594	9.31967372836024e-09	1.12564815854745e-05	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component c3 [Epinephelus coioides]	7.18628509600254	3.57405235111493e-12
P3503_119_TRINITY_DN23328_c4_g6_i1	8.40302278404715	3.45270797774436	32.7007663706248	1.07494831410246e-08	1.2828868278626e-05	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Uncharacterized protein [Oreochromis niloticus]	9.00341286793968	8.28668206915136e-15
P3503_120_TRINITY_DN21328_c1_g13_i8	5.32080436437854	5.40714236126242	32.6035436595296	1.13008516973863e-08	1.33282244918974e-05	Galactose-specific lectin nattectin [Q66S03, Thalassophryne nattereri]	C-type lectin 11 [Perca flavescens]	4.35065800354647	0.000351503383564371
P3503_133_TRINITY_DN23439_c4_g6_i2	5.09548351300519	7.43178868618898	32.5514222322881	1.16080155756649e-08	1.35313017842422e-05	NA	NA	5.26460338722337	8.48516682756216e-11
P3503_108_TRINITY_DN19855_c3_g9_i2	6.21553334786694	3.35950433473643	32.2609200926036	1.34797371195867e-08	1.53560246193346e-05	NA	NA	6.40403206398521	5.14889234381166e-08
P3503_109_TRINITY_DN20533_c3_g1_i13	3.71081383606004	4.18973753506166	32.2644273115723	1.34554278310546e-08	1.53560246193346e-05	Alpha-1-antitrypsin homolog [P32759, Cyprinus carpio]	Uncharacterized protein [Takifugu rubripes]	3.63976047081385	1.19954187064955e-07
P3503_106_TRINITY_DN21812_c0_g1_i7	6.5473551462007	3.52124136471829	32.2155787560836	1.37979968176932e-08	1.55419705952464e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 2 [Perca flavescens]	5.99033067783301	2.15135282672455e-08
P3503_115_TRINITY_DN20981_c6_g3_i2	3.8551993164603	5.43656946781539	31.8481970784464	1.66704338122257e-08	1.84660942790899e-05	Serpin A3-5 [A2I7N1, Bos taurus]	PREDICTED  alpha-1-antitrypsin homolog [Stegastes partitus]	3.59727000983346	1.02241011681089e-08
P3503_119_TRINITY_DN23328_c4_g1_i1	5.95306759498337	0.992299073714577	31.8375103118541	1.67624073995469e-08	1.84660942790899e-05	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement factor 3 (Fragment) [Oreochromis niloticus niloticus]	6.80676335175959	3.14578169625915e-10
P3503_109_TRINITY_DN20647_c0_g1_i8	6.57858766667358	6.0990001582823	31.7044142279176	1.79513715998666e-08	1.95609462121199e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 2 [Perca flavescens]	5.89980334280632	1.147625502425e-07
P3503_111_TRINITY_DN23178_c0_g2_i1	4.00096284860296	7.56442133476274	31.3514461988132	2.15298265465328e-08	2.32079954996061e-05	L-amino-acid oxidase [P86810, Siganus canaliculatus]	Skin mucus antibacterial l-amino acid oxidase [Sebastes schlegelii]	3.73608517241594	5.04245810586178e-07
P3503_130_TRINITY_DN21571_c2_g1_i1	4.45815631358142	2.06012024120772	31.3012383025153	2.20938674824286e-08	2.35626395877232e-05	NA	NA	4.03936360877791	3.85520555710441e-07
P3503_119_TRINITY_DN23232_c0_g6_i4	6.1874444863637	7.1741960077041	31.1733805364522	2.35979917823697e-08	2.4901842928324e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 2 [Perca flavescens]	5.35725245511469	1.27679475871676e-07
P3503_133_TRINITY_DN23383_c0_g4_i15	6.35863656964826	4.17137773470855	30.8716820123647	2.75664981312307e-08	2.87866028245599e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 2 [Perca flavescens]	5.9133336933323	7.26256264858303e-08
P3503_123_TRINITY_DN22589_c2_g10_i1	5.59335463942278	4.34839411321903	30.7719825503283	2.90197665626146e-08	2.99917791560366e-05	NA	NA	5.36406502208596	1.19405244437189e-07
P3503_102_TRINITY_DN19779_c8_g1_i1	9.31595952580495	10.2720987653481	30.7072188797941	3.00046689625353e-08	3.00316410715983e-05	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin Ab (Fragment) [Perca flavescens]	8.48341967645139	1.5639729402445e-05
P3503_114_TRINITY_DN21682_c1_g3_i1	4.05746637966524	4.04768236275904	30.6940248669822	3.02093883092468e-08	3.00316410715983e-05	NA	Hibernation-specific plasma protein HP-55 [Larimichthys crocea]	3.89115216957593	2.91483542510483e-08
P3503_121_TRINITY_DN21196_c4_g1_i1	4.04514196308846	0.913400847373787	30.6909936326639	3.02566185022437e-08	3.00316410715983e-05	NA	NA	4.0388077992401	1.61630046531418e-05
P3503_130_TRINITY_DN22011_c0_g3_i10	3.83882260275807	7.34399074687321	30.7265935079373	2.9706566825425e-08	3.00316410715983e-05	Galactose-specific lectin nattectin [Q66S03, Thalassophryne nattereri]	C-type lectin 13 [Perca flavescens]	3.90393207078831	8.36927991885177e-13
P3503_115_TRINITY_DN21093_c1_g1_i2	3.89488427684113	7.59806740018342	30.6661673708766	3.06462352641621e-08	3.0120141558794e-05	Galactose-specific lectin nattectin [Q66S03, Thalassophryne nattereri]	C-type lectin 13 [Perca flavescens]	3.52591025988128	2.01963633629186e-11
P3503_121_TRINITY_DN21228_c0_g2_i2	6.03144977886753	9.01053041859577	30.4870524569523	3.36102185635035e-08	3.27125320463365e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 2 [Perca flavescens]	5.09054183579823	4.1533442105111e-07
P3503_132_TRINITY_DN23133_c3_g1_i2	5.08652851908175	5.20147742372552	30.4444763451669	3.43560180944656e-08	3.311688901877e-05	NA	C-type lectin 4 (Fragment) [Perca flavescens]	4.88894414650078	3.80427216570087e-10
P3503_106_TRINITY_DN20170_c0_g3_i1	3.57342802305667	2.25531960933798	30.2212912788873	3.85454701620547e-08	3.68013794121507e-05	Serine protease inhibitor A3M [Q03734, Mus musculus]	PREDICTED  alpha-1-antitrypsin homolog [Stegastes partitus]	3.49405730697524	5.19801128795661e-08
P3503_130_TRINITY_DN38679_c0_g1_i1	6.90566179791702	-1.37013135454724	30.15757231088	3.98328869086357e-08	3.76717649028662e-05	NA	NA	6.28419932656143	0.000530847568559489
P3503_123_TRINITY_DN22252_c14_g1_i1	5.25770210013587	1.82257509789941	30.0904143141536	4.12364479947394e-08	3.86346978974264e-05	Extracellular serine/threonine protein kinase FAM20C [Q8IXL6, Homo sapiens]	PREDICTED  extracellular serine/threonine protein kinase FAM20C-like [Larimichthys crocea]	4.81992230395603	2.14818864572633e-05
P3503_105_TRINITY_DN18369_c0_g1_i4	5.83589815483881	4.35647893519413	29.9852303421317	4.35349702676413e-08	4.04105299477849e-05	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 3 [Perca flavescens]	5.20425667279647	2.55890258303529e-08
P3503_115_TRINITY_DN20928_c4_g5_i2	3.74395794534459	4.86635721144241	29.902037346433	4.54435073807923e-08	4.17951024900647e-05	NA	NA	3.58940155158797	2.03550094185407e-06
P3503_102_TRINITY_DN32229_c0_g1_i1	7.50441247410806	-0.886516965858159	29.8548783394286	4.65623827475968e-08	4.24348391642167e-05	NA	52 kDa repressor of the inhibitor of the protein kinase [Fundulus heteroclitus]	6.5170578484889	8.36535276017066e-05
