transcript_id	Annotation_uniprot
P3503_118_TRINITY_DN33672_c0_g1_i1	
P3503_115_TRINITY_DN19673_c0_g1_i2	Q6PFJ1
P3503_119_TRINITY_DN23228_c5_g14_i1	Q9Y548
P3503_111_TRINITY_DN5550_c0_g1_i1	
P3503_114_TRINITY_DN5941_c0_g1_i1	Q5DTM8
P3503_118_TRINITY_DN16763_c1_g1_i1	Q9H1B5
P3503_108_TRINITY_DN12493_c0_g2_i1	Q2NKQ1
P3503_125_TRINITY_DN22473_c2_g5_i1	Q08EJ0
P3503_117_TRINITY_DN20504_c4_g3_i5	Q7SYI5
P3503_119_TRINITY_DN7132_c0_g1_i1	Q0MQC7
P3503_119_TRINITY_DN20876_c0_g2_i2	Q9UBQ7
P3503_121_TRINITY_DN8303_c0_g1_i1	
P3503_129_TRINITY_DN4314_c0_g1_i1	
P3503_130_TRINITY_DN21039_c0_g1_i3	Q5R1W5
P3503_129_TRINITY_DN7910_c0_g2_i1	
P3503_119_TRINITY_DN31369_c0_g1_i1	Q8WWI1
P3503_101_TRINITY_DN31614_c0_g1_i1	Q8IZF0
P3503_118_TRINITY_DN28242_c0_g1_i1	A0JN62
P3503_125_TRINITY_DN22445_c2_g14_i1	Q5R592
P3503_106_TRINITY_DN14312_c0_g3_i1	Q9MZD1
P3503_130_TRINITY_DN30057_c0_g1_i1	
P3503_119_TRINITY_DN22720_c0_g1_i3	
P3503_131_TRINITY_DN36782_c0_g1_i1	
P3503_109_TRINITY_DN10066_c0_g1_i1	Q9NQP4
P3503_115_TRINITY_DN27049_c0_g1_i1	
P3503_101_TRINITY_DN34756_c0_g1_i1	F1RBN2
P3503_117_TRINITY_DN20468_c0_g11_i3	
P3503_125_TRINITY_DN27998_c0_g1_i1	
P3503_113_TRINITY_DN7998_c0_g1_i1	Q92974
P3503_118_TRINITY_DN27071_c0_g1_i1	P83900
P3503_130_TRINITY_DN22015_c1_g3_i2	P34943
P3503_115_TRINITY_DN18534_c0_g1_i1	
P3503_129_TRINITY_DN3384_c1_g1_i1	
P3503_129_TRINITY_DN23218_c0_g1_i1	
P3503_106_TRINITY_DN24067_c0_g1_i1	P52160
P3503_129_TRINITY_DN18888_c0_g1_i2	
P3503_114_TRINITY_DN27841_c0_g1_i1	
P3503_123_TRINITY_DN19704_c0_g2_i1	Q8N3J2
P3503_125_TRINITY_DN20809_c0_g1_i1	Q8BW00
P3503_120_TRINITY_DN21550_c6_g1_i4	Q587J6
P3503_125_TRINITY_DN34622_c0_g1_i1	
P3503_125_TRINITY_DN20809_c0_g1_i2	Q8BW00
P3503_117_TRINITY_DN20666_c5_g1_i1	P12763
P3503_119_TRINITY_DN11885_c0_g2_i1	P22682
P3503_109_TRINITY_DN16050_c0_g1_i1	
P3503_106_TRINITY_DN14451_c0_g2_i1	Q8BWR4
P3503_109_TRINITY_DN12035_c1_g1_i1	P97814
P3503_130_TRINITY_DN22025_c4_g3_i1	
P3503_131_TRINITY_DN10277_c0_g1_i1	
P3503_118_TRINITY_DN13212_c0_g1_i1	
P3503_115_TRINITY_DN18196_c0_g1_i1	
P3503_109_TRINITY_DN20696_c14_g2_i1	Q9ESX5
P3503_101_TRINITY_DN26809_c0_g1_i1	Q08CN9
P3503_113_TRINITY_DN20932_c0_g3_i2	
P3503_129_TRINITY_DN26158_c0_g1_i1	
P3503_129_TRINITY_DN8076_c0_g1_i1	Q7ZZ25
P3503_131_TRINITY_DN20910_c0_g1_i1	
P3503_108_TRINITY_DN14332_c2_g1_i1	
P3503_123_TRINITY_DN15737_c0_g1_i1	
P3503_103_TRINITY_DN25207_c0_g1_i1	Q90459
P3503_123_TRINITY_DN24720_c0_g1_i1	
P3503_123_TRINITY_DN20330_c0_g2_i3	P21573
P3503_111_TRINITY_DN25268_c0_g1_i1	
P3503_117_TRINITY_DN20437_c6_g9_i1	
P3503_129_TRINITY_DN22269_c6_g6_i3	
P3503_118_TRINITY_DN35573_c0_g1_i1	Q867A9
P3503_114_TRINITY_DN13007_c0_g2_i1	A5A6H4
P3503_125_TRINITY_DN21799_c0_g2_i1	
P3503_123_TRINITY_DN8852_c0_g1_i1	
P3503_131_TRINITY_DN21109_c1_g1_i1	
P3503_129_TRINITY_DN19509_c0_g1_i1	A6NI28
P3503_133_TRINITY_DN22834_c0_g2_i1	Q60641
P3503_114_TRINITY_DN18682_c0_g1_i2	
P3503_114_TRINITY_DN18682_c0_g1_i1	
P3503_106_TRINITY_DN21967_c6_g1_i1	
P3503_129_TRINITY_DN21160_c0_g1_i2	Q9NPB8
P3503_118_TRINITY_DN4997_c0_g1_i1	
P3503_129_TRINITY_DN32682_c0_g1_i1	Q9CX86
P3503_119_TRINITY_DN23079_c0_g2_i1	
P3503_119_TRINITY_DN33311_c0_g1_i1	
P3503_109_TRINITY_DN36457_c0_g1_i1	
P3503_123_TRINITY_DN20482_c1_g1_i1	Q96AQ8
P3503_113_TRINITY_DN20124_c1_g1_i1	
P3503_114_TRINITY_DN19372_c0_g1_i1	Q04941
P3503_106_TRINITY_DN2863_c0_g1_i1	
P3503_113_TRINITY_DN20351_c3_g1_i1	Q9NRW7
P3503_103_TRINITY_DN20651_c0_g4_i3	P35604
P3503_115_TRINITY_DN20304_c0_g1_i3	A8WH75
P3503_109_TRINITY_DN30244_c0_g1_i1	Q8TEQ6
P3503_111_TRINITY_DN22467_c0_g1_i1	Q8WY91
P3503_129_TRINITY_DN17031_c0_g1_i1	
P3503_119_TRINITY_DN3137_c0_g1_i1	
P3503_111_TRINITY_DN32897_c0_g1_i1	
P3503_130_TRINITY_DN5947_c1_g1_i1	Q5F2E8
P3503_114_TRINITY_DN18272_c2_g1_i1	
P3503_131_TRINITY_DN18780_c0_g3_i1	
P3503_103_TRINITY_DN21238_c2_g5_i4	Q9NPB8
P3503_109_TRINITY_DN22955_c0_g1_i1	
P3503_114_TRINITY_DN14928_c1_g1_i1	
P3503_115_TRINITY_DN27004_c0_g1_i1	
P3503_108_TRINITY_DN33541_c0_g1_i1	Q7SZ07
P3503_129_TRINITY_DN21746_c0_g1_i1	Q8VIJ5
P3503_129_TRINITY_DN21746_c0_g1_i2	O60502
P3503_129_TRINITY_DN21746_c0_g1_i3	Q8VIJ5
P3503_117_TRINITY_DN1789_c0_g1_i1	P56962
P3503_123_TRINITY_DN26939_c0_g1_i1	
P3503_114_TRINITY_DN4911_c0_g1_i1	
P3503_129_TRINITY_DN22417_c6_g5_i1	
P3503_105_TRINITY_DN28747_c0_g1_i1	
P3503_108_TRINITY_DN16210_c0_g2_i1	Q1KME6
P3503_133_TRINITY_DN24209_c0_g1_i1	
P3503_108_TRINITY_DN17176_c2_g1_i1	P48552
P3503_132_TRINITY_DN22965_c1_g3_i7	P86810
P3503_101_TRINITY_DN20601_c2_g4_i2	P49638
P3503_108_TRINITY_DN18981_c3_g1_i1	
P3503_121_TRINITY_DN36467_c0_g1_i1	
P3503_108_TRINITY_DN25804_c0_g1_i1	
P3503_123_TRINITY_DN20665_c0_g1_i1	
P3503_131_TRINITY_DN30711_c0_g1_i1	
P3503_129_TRINITY_DN2168_c0_g1_i1	
P3503_133_TRINITY_DN6083_c0_g1_i1	F1RDM5
P3503_114_TRINITY_DN21611_c4_g3_i1	
P3503_132_TRINITY_DN17150_c1_g1_i1	
P3503_108_TRINITY_DN24516_c0_g1_i1	P49060
P3503_115_TRINITY_DN25005_c0_g1_i1	
P3503_115_TRINITY_DN8103_c1_g1_i1	Q9PTL1
P3503_119_TRINITY_DN13010_c0_g1_i1	A5WWA0
P3503_118_TRINITY_DN19950_c0_g1_i2	Q9XSC9
P3503_118_TRINITY_DN39212_c0_g1_i1	P11274
P3503_125_TRINITY_DN26268_c0_g1_i1	Q9Y4A5
P3503_130_TRINITY_DN18855_c0_g1_i1	O95081
P3503_132_TRINITY_DN12603_c0_g1_i1	Q6ZS30
P3503_114_TRINITY_DN9814_c0_g1_i1	
P3503_129_TRINITY_DN11129_c0_g1_i1	
P3503_117_TRINITY_DN20578_c1_g1_i1	
P3503_118_TRINITY_DN22310_c5_g1_i1	
P3503_120_TRINITY_DN28506_c0_g1_i1	Q9NTX9
P3503_125_TRINITY_DN15381_c0_g2_i2	Q4G069
P3503_108_TRINITY_DN37657_c0_g1_i1	Q56V19
P3503_106_TRINITY_DN32592_c0_g1_i1	Q8BPN8
P3503_108_TRINITY_DN4237_c0_g1_i1	Q98989
P3503_106_TRINITY_DN20272_c3_g1_i1	
P3503_118_TRINITY_DN21939_c0_g2_i2	Q9Y343
P3503_106_TRINITY_DN21935_c0_g4_i1	
P3503_123_TRINITY_DN25419_c0_g1_i1	Q8IWU5
P3503_115_TRINITY_DN11172_c1_g1_i1	Q49AM3
P3503_123_TRINITY_DN30619_c0_g1_i1	Q6PHE8
P3503_119_TRINITY_DN18766_c1_g1_i1	P80204
P3503_125_TRINITY_DN25047_c0_g1_i1	Q8NEY1
P3503_129_TRINITY_DN21073_c0_g1_i2	
P3503_109_TRINITY_DN20693_c3_g6_i1	
P3503_120_TRINITY_DN8647_c0_g1_i1	Q7T308
P3503_123_TRINITY_DN16307_c0_g1_i1	Q6ZNA1
P3503_130_TRINITY_DN20886_c0_g1_i1	
P3503_108_TRINITY_DN28618_c0_g1_i1	Q32LD1
P3503_115_TRINITY_DN19683_c0_g2_i1	Q90YQ6
P3503_108_TRINITY_DN19710_c3_g8_i4	
P3503_131_TRINITY_DN2379_c0_g1_i1	Q9C0A6
P3503_103_TRINITY_DN6816_c0_g1_i1	Q00536
P3503_105_TRINITY_DN30438_c0_g1_i1	
P3503_123_TRINITY_DN20306_c1_g5_i1	Q1LZH1
P3503_121_TRINITY_DN28676_c0_g1_i1	
P3503_118_TRINITY_DN22371_c3_g4_i1	
P3503_108_TRINITY_DN1253_c0_g1_i1	Q08BI9
P3503_118_TRINITY_DN22371_c3_g4_i2	
P3503_132_TRINITY_DN22032_c0_g2_i1	Q5R7C4
P3503_132_TRINITY_DN22032_c0_g2_i2	Q5R7C4
P3503_114_TRINITY_DN21724_c6_g1_i4	
P3503_125_TRINITY_DN7653_c0_g1_i1	Q29503
P3503_109_TRINITY_DN20588_c4_g1_i1	P21187
P3503_129_TRINITY_DN18741_c0_g1_i1	Q0II70
P3503_119_TRINITY_DN28572_c0_g1_i1	Q568H3
P3503_109_TRINITY_DN3570_c0_g1_i1	
P3503_109_TRINITY_DN20742_c1_g3_i10	Q568P1
P3503_109_TRINITY_DN18479_c0_g1_i1	Q32KL5
P3503_119_TRINITY_DN24231_c0_g1_i1	
P3503_106_TRINITY_DN32584_c0_g1_i1	
P3503_133_TRINITY_DN23438_c1_g3_i1	
P3503_132_TRINITY_DN29001_c0_g1_i1	
P3503_106_TRINITY_DN29472_c0_g1_i1	
P3503_129_TRINITY_DN35824_c0_g1_i1	
P3503_131_TRINITY_DN34590_c0_g1_i1	
P3503_131_TRINITY_DN11214_c0_g1_i1	Q9BYV6
P3503_106_TRINITY_DN25751_c0_g1_i1	Q5VYX0
P3503_106_TRINITY_DN27259_c0_g1_i1	
P3503_108_TRINITY_DN32041_c0_g1_i1	
P3503_118_TRINITY_DN32500_c0_g1_i1	
P3503_108_TRINITY_DN32721_c0_g1_i1	Q8R2M0
P3503_132_TRINITY_DN22845_c0_g1_i1	
P3503_130_TRINITY_DN26085_c0_g1_i1	
P3503_132_TRINITY_DN30240_c0_g1_i1	
P3503_133_TRINITY_DN28849_c0_g1_i1	Q8IVF5
P3503_115_TRINITY_DN20869_c5_g2_i1	
P3503_121_TRINITY_DN22135_c0_g1_i1	
P3503_106_TRINITY_DN5623_c0_g2_i1	Q99PP9
P3503_111_TRINITY_DN34189_c1_g1_i1	
P3503_106_TRINITY_DN13809_c1_g1_i1	O95104
P3503_131_TRINITY_DN39673_c0_g1_i1	
P3503_133_TRINITY_DN28914_c0_g1_i1	A0AUS0
P3503_101_TRINITY_DN4653_c0_g1_i1	O95153
P3503_114_TRINITY_DN23867_c0_g1_i1	
P3503_130_TRINITY_DN23459_c0_g1_i1	
P3503_111_TRINITY_DN23711_c0_g1_i1	Q6DBY5
P3503_129_TRINITY_DN19864_c0_g1_i2	P46934
P3503_106_TRINITY_DN33683_c0_g1_i1	Q5EAR5
P3503_125_TRINITY_DN726_c0_g1_i1	
P3503_123_TRINITY_DN32140_c0_g1_i1	
P3503_120_TRINITY_DN16894_c0_g1_i1	A7E300
P3503_129_TRINITY_DN21657_c0_g1_i6	Q5I012
P3503_129_TRINITY_DN19628_c0_g2_i1	Q8IY57
P3503_106_TRINITY_DN22932_c0_g1_i1	
P3503_125_TRINITY_DN21979_c0_g1_i1	
P3503_108_TRINITY_DN8696_c0_g2_i1	Q8IYT8
P3503_111_TRINITY_DN23359_c0_g2_i1	Q5R760
P3503_101_TRINITY_DN19913_c1_g2_i1	Q95218
P3503_125_TRINITY_DN21390_c0_g2_i1	Q803A7
P3503_106_TRINITY_DN2059_c0_g1_i1	Q8R3H9
P3503_119_TRINITY_DN21512_c0_g1_i1	
P3503_125_TRINITY_DN24734_c0_g1_i1	
P3503_132_TRINITY_DN21569_c0_g1_i1	
P3503_106_TRINITY_DN13656_c0_g1_i2	Q9MYP6
P3503_109_TRINITY_DN9035_c0_g2_i1	
P3503_115_TRINITY_DN20949_c0_g1_i7	
P3503_101_TRINITY_DN20427_c0_g2_i1	
P3503_109_TRINITY_DN20505_c3_g1_i1	Q69ZB8
P3503_131_TRINITY_DN14250_c0_g1_i1	O43257
P3503_109_TRINITY_DN20373_c4_g2_i1	Q3U2A8
P3503_123_TRINITY_DN13573_c0_g1_i1	
P3503_118_TRINITY_DN26608_c0_g1_i1	Q58A65
P3503_125_TRINITY_DN7021_c0_g2_i1	Q9ULC3
P3503_115_TRINITY_DN11116_c0_g1_i1	
P3503_101_TRINITY_DN30887_c0_g1_i1	Q8JGR7
P3503_133_TRINITY_DN34364_c0_g1_i1	P83510
P3503_125_TRINITY_DN6875_c0_g1_i1	Q8VCZ3
P3503_108_TRINITY_DN5047_c0_g1_i1	
P3503_119_TRINITY_DN39405_c0_g1_i1	
P3503_123_TRINITY_DN4516_c0_g1_i1	P20959
P3503_105_TRINITY_DN30304_c0_g1_i1	
P3503_106_TRINITY_DN14555_c0_g1_i1	P14099
P3503_121_TRINITY_DN20426_c0_g1_i3	P34913
P3503_130_TRINITY_DN13952_c0_g1_i1	
P3503_132_TRINITY_DN31678_c0_g1_i1	
P3503_111_TRINITY_DN23300_c0_g8_i1	
P3503_129_TRINITY_DN21585_c0_g3_i2	
P3503_115_TRINITY_DN9228_c0_g1_i1	Q9HD43
P3503_125_TRINITY_DN12118_c0_g1_i1	A3KPW9
P3503_123_TRINITY_DN21592_c1_g1_i1	
P3503_103_TRINITY_DN985_c0_g1_i1	
P3503_132_TRINITY_DN22803_c3_g3_i1	
P3503_131_TRINITY_DN19945_c0_g1_i1	O73630
P3503_119_TRINITY_DN25389_c0_g1_i1	Q803H0
P3503_101_TRINITY_DN20683_c2_g3_i7	
P3503_101_TRINITY_DN20683_c2_g3_i6	
P3503_101_TRINITY_DN20683_c2_g3_i4	
P3503_103_TRINITY_DN25684_c0_g1_i1	
P3503_101_TRINITY_DN20683_c2_g3_i1	
P3503_106_TRINITY_DN10625_c0_g1_i1	Q3L8U1
P3503_109_TRINITY_DN25833_c0_g1_i1	
P3503_133_TRINITY_DN8974_c0_g1_i1	Q9NPJ8
P3503_125_TRINITY_DN22454_c5_g2_i1	
P3503_118_TRINITY_DN9255_c0_g1_i1	
P3503_109_TRINITY_DN22249_c0_g1_i1	Q80TR8
P3503_133_TRINITY_DN13894_c0_g1_i1	Q02386
P3503_123_TRINITY_DN20733_c0_g1_i1	Q13287
P3503_103_TRINITY_DN14160_c0_g1_i1	
P3503_101_TRINITY_DN21772_c0_g1_i1	P49706
P3503_119_TRINITY_DN22871_c1_g1_i1	Q14258
P3503_113_TRINITY_DN35383_c0_g1_i1	
P3503_115_TRINITY_DN24437_c0_g1_i1	
P3503_109_TRINITY_DN29732_c0_g1_i1	Q2V905
P3503_119_TRINITY_DN16558_c0_g1_i1	
P3503_109_TRINITY_DN28061_c0_g1_i1	
P3503_117_TRINITY_DN32312_c0_g1_i1	P97363
P3503_106_TRINITY_DN931_c1_g1_i1	
P3503_131_TRINITY_DN17893_c3_g1_i1	
P3503_118_TRINITY_DN35242_c0_g1_i1	
P3503_108_TRINITY_DN30746_c0_g1_i1	P08043
P3503_115_TRINITY_DN24005_c0_g1_i1	
P3503_118_TRINITY_DN14396_c0_g1_i1	P61072
P3503_123_TRINITY_DN36033_c0_g1_i1	
P3503_123_TRINITY_DN22314_c8_g12_i1	P79755
P3503_106_TRINITY_DN7067_c0_g1_i1	Q921I2
P3503_129_TRINITY_DN6041_c1_g1_i1	
P3503_133_TRINITY_DN23272_c1_g1_i1	P35713
P3503_118_TRINITY_DN19814_c0_g2_i1	Q9YGF2
P3503_103_TRINITY_DN2196_c0_g1_i1	
P3503_109_TRINITY_DN12313_c0_g1_i1	
P3503_102_TRINITY_DN11550_c0_g1_i1	
P3503_119_TRINITY_DN22787_c0_g2_i3	
P3503_129_TRINITY_DN22157_c1_g1_i1	
P3503_106_TRINITY_DN39027_c0_g1_i1	Q8VHR5
P3503_105_TRINITY_DN21463_c0_g1_i1	
P3503_103_TRINITY_DN14825_c0_g1_i1	
P3503_133_TRINITY_DN26465_c0_g1_i1	
P3503_109_TRINITY_DN20646_c8_g10_i1	
P3503_111_TRINITY_DN8477_c0_g1_i1	
P3503_130_TRINITY_DN9632_c0_g1_i1	
P3503_105_TRINITY_DN26918_c0_g1_i1	
P3503_132_TRINITY_DN21534_c0_g1_i1	Q5TJG6
P3503_106_TRINITY_DN4018_c0_g1_i1	Q8WU58
P3503_125_TRINITY_DN23004_c0_g1_i1	A1A4R8
P3503_119_TRINITY_DN16047_c0_g1_i1	P36871
P3503_132_TRINITY_DN25821_c0_g1_i1	
P3503_114_TRINITY_DN30054_c0_g1_i1	Q91487
P3503_117_TRINITY_DN20497_c2_g3_i5	
P3503_113_TRINITY_DN20929_c4_g9_i1	
P3503_111_TRINITY_DN35423_c0_g1_i1	Q9P2P6
P3503_130_TRINITY_DN31682_c0_g1_i1	
P3503_125_TRINITY_DN4080_c0_g1_i1	O35450
P3503_114_TRINITY_DN21520_c3_g2_i1	Q63617
P3503_106_TRINITY_DN27216_c0_g1_i1	P21271
P3503_119_TRINITY_DN18932_c0_g1_i1	
P3503_111_TRINITY_DN23330_c3_g7_i1	A0AVT1
P3503_125_TRINITY_DN6853_c1_g1_i1	Q96RK0
P3503_103_TRINITY_DN31475_c0_g1_i1	
P3503_121_TRINITY_DN3451_c1_g1_i1	Q969R5
P3503_133_TRINITY_DN15713_c0_g2_i1	Q9P2M4
P3503_109_TRINITY_DN17013_c0_g3_i1	P86197
P3503_133_TRINITY_DN21652_c2_g1_i1	
P3503_101_TRINITY_DN17256_c1_g1_i1	Q90YQ6
P3503_118_TRINITY_DN19030_c0_g1_i1	Q96KC8
P3503_129_TRINITY_DN14052_c0_g1_i1	Q5JWR5
P3503_119_TRINITY_DN23214_c0_g3_i8	
P3503_115_TRINITY_DN21011_c1_g1_i3	
P3503_117_TRINITY_DN959_c0_g1_i1	
P3503_106_TRINITY_DN11257_c1_g1_i1	Q811D2
P3503_106_TRINITY_DN14566_c0_g1_i1	P13255
P3503_103_TRINITY_DN21532_c11_g1_i1	
P3503_108_TRINITY_DN19805_c0_g2_i1	
P3503_121_TRINITY_DN2108_c0_g1_i1	Q5R4C3
P3503_101_TRINITY_DN28478_c0_g1_i1	
P3503_108_TRINITY_DN29562_c0_g1_i1	
P3503_109_TRINITY_DN19590_c2_g3_i1	O95376
P3503_120_TRINITY_DN8322_c0_g1_i1	
P3503_132_TRINITY_DN25461_c0_g1_i1	Q7Z4L5
P3503_114_TRINITY_DN22425_c0_g1_i1	
P3503_123_TRINITY_DN4939_c0_g1_i1	
P3503_106_TRINITY_DN21708_c3_g1_i4	Q6ZQW0
P3503_120_TRINITY_DN14084_c0_g1_i1	Q96ME1
P3503_125_TRINITY_DN15524_c0_g1_i1	Q5HZE0
P3503_108_TRINITY_DN19842_c1_g1_i3	P0C0L4
P3503_103_TRINITY_DN21041_c1_g2_i2	Q6DFQ7
P3503_108_TRINITY_DN31858_c0_g1_i1	
P3503_123_TRINITY_DN7166_c0_g1_i1	Q9HA64
P3503_108_TRINITY_DN19842_c1_g1_i7	P0C0L5
P3503_125_TRINITY_DN38592_c0_g1_i1	Q9W6I1
P3503_132_TRINITY_DN20610_c0_g1_i1	Q16537
P3503_125_TRINITY_DN7084_c0_g2_i1	Q91012
P3503_118_TRINITY_DN17943_c2_g1_i1	Q9UKW4
P3503_114_TRINITY_DN19690_c0_g3_i1	Q1LZH9
P3503_125_TRINITY_DN30154_c0_g1_i1	
P3503_115_TRINITY_DN21109_c1_g1_i1	
P3503_132_TRINITY_DN28091_c0_g1_i1	
P3503_115_TRINITY_DN19966_c0_g1_i1	O55029
P3503_123_TRINITY_DN22473_c1_g3_i2	Q6P734
P3503_120_TRINITY_DN32966_c0_g1_i1	Q9BXS9
P3503_109_TRINITY_DN14975_c0_g1_i1	Q49AM3
P3503_111_TRINITY_DN17772_c0_g1_i1	
P3503_113_TRINITY_DN31172_c0_g1_i1	Q14C86
P3503_115_TRINITY_DN33181_c0_g1_i1	
P3503_132_TRINITY_DN34561_c0_g1_i1	
P3503_114_TRINITY_DN15018_c1_g1_i1	
P3503_121_TRINITY_DN11232_c0_g1_i1	P53995
P3503_101_TRINITY_DN20322_c0_g1_i1	Q5RII3
P3503_114_TRINITY_DN25193_c0_g1_i1	Q7ZXW9
P3503_103_TRINITY_DN29833_c0_g1_i1	Q7T3B0
P3503_131_TRINITY_DN25128_c0_g1_i1	
P3503_114_TRINITY_DN15512_c0_g1_i1	
P3503_129_TRINITY_DN21943_c0_g1_i8	P15498
P3503_113_TRINITY_DN15663_c0_g1_i1	Q13619
P3503_101_TRINITY_DN27579_c0_g1_i1	
P3503_111_TRINITY_DN21779_c0_g1_i2	A0ZSK3
P3503_106_TRINITY_DN18682_c2_g1_i1	O15226
P3503_106_TRINITY_DN29501_c0_g1_i1	O08662
P3503_119_TRINITY_DN31744_c0_g1_i1	P20593
P3503_130_TRINITY_DN26809_c0_g1_i1	P14380
P3503_132_TRINITY_DN22572_c0_g1_i3	Q9H1Y3
